Web Principal;;Directorio/Listado por Patología;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.gepac.es/;;"Busca en su sección de ""Pacientes"" o ""Asociaciones de Pacientes"". Es el directorio más completo por patología.";;;;;;;;;;;;;;;;;;;;;;;;;
https://seom.org/;;"Busca en ""Información sobre el cáncer"" -> ""Enlaces"" o ""Asociaciones de Pacientes"".";;;;;;;;;;;;;;;;;;;;;;;;;
Asociación Nacional / Federación;;Web;;;;;;;;;;;;;;;;;;;;;;;;;
FECMA (Federación Española de Cáncer de Mama);CÁNCER DE MAMAN ;https://www.fecma.org/ (Agrupa asociaciones provinciales y locales);;;;;;;;;;;;;;;;;;;;;;;;;
AEAL (Asociación Española de Afectados);;https://www.aeal.es/;;;;;;;;;;;;;;;;;;;;;;;;;
AEACaP (Asociación Española de Afectados);CÁNCER DE PULMÓN;https://afectadoscancerdepulmon.com/;;;;;;;;;;;;;;;;;;;;;;;;;
EuropaColon España;CÁNCER DE COLÓN;http://www.europacolonespana.org/;;;;;;;;;;;;;;;;;;;;;;;;;
ASACO (Asociación de Afectados);CÁNCER GINECOLÓGICO, OVARIOS, ÚTERO ;https://www.asociacionasaco.es/;;;;;;;;;;;;;;;;;;;;;;;;;
Federación Española de Padres de Niños con Cáncer;CÁNCER INFANTIL;https://www.cancerinfantil.org/ (Agrupa asociaciones autonómicas y provinciales);;;;;;;;;;;;;;;;;;;;;;;;;
AECAT (Asociación Española de Cáncer de Tiroides);CÁNCER DE TIROIDES ;https://www.aecat.net/;;;;;;;;;;;;;;;;;;;;;;;;;
ACANPAN (Asociación Cáncer de Páncreas);CÁNCER DE PÁNCREAS ;https://acampan.es/;;;;;;;;;;;;;;;;;;;;;;;;;
Web Principal;;Búsqueda por Provincia;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.contraelcancer.es/es;;Utiliza su buscador de sedes para encontrar la oficina en tu provincia o localidad, que te pondrá en contacto con los recursos específicos de la zona.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ámbito;;Web;Nota Importante;;;;;;;;;;;;;;;;;;;;;;;;
Nacional (España);SALUD MENTAL ;https://consaludmental.org/;Tienen un directorio de asociaciones y un mapa donde puedes localizar las entidades miembro por comunidad autónoma.;;;;;;;;;;;;;;;;;;;;;;;;
Autonómico/Provincial;;Busca en la web de la Confederación;Cada comunidad autónoma tiene una Federación (como FEAFES Andalucía, Federación de Salud Mental de La Rioja, UMASAM en Madrid, etc.) que a su vez agrupa a las asociaciones locales de su territorio.;;;;;;;;;;;;;;;;;;;;;;;;
Asociación Específica;;Web;;;;;;;;;;;;;;;;;;;;;;;;;
AMAFE (Asociación Española de Apoyo en Psicosis);SALUD MENTAL PSICOSIS;https://www.amafe.org/;;;;;;;;;;;;;;;;;;;;;;;;;
Mundo Bipolar (Asociación);SALUD MENTAL BIPOLAR;Busca Mundo Bipolar España;;;;;;;;;;;;;;;;;;;;;;;;;
DSAS (Asociación Postvención del Suicidio) / Teléfono de la Esperanza;SALUD MENTAL PREVENCIÓN SUICIDIO ;Busca Asociación Depresión Suicidio España o Telefono de la Esperanza;;;;;;;;;;;;;;;;;;;;;;;;;
Autismo España (Confederación);AUTISMO ;https://autismo.org.es/;;;;;;;;;;;;;;;;;;;;;;;;;
FEACAB (Federación Española de Asociaciones de TCA);SALUD MENTAL ANOREXIA BULIMIA NERVIOSA TRASTORNO ALIMENTARIO;https://www.feacab.org/;;;;;;;;;;;;;;;;;;;;;;;;;
